id,originX,originY,destX,destY,lambda,Pw,Lw,ew
630,131,100,116,114,0.2,0.950503,28.5161,20.4432
631,53,166,96,102,0.2,0.99763,105.299,88.2476
632,178,163,84,108,0.2,0.999983,145.452,119.499
633,30,29,82,120,0.2,0.999999,139.45,123.794
634,131,178,63,120,0.2,0.998969,123.548,99.1211
635,62,125,79,92,0.2,0.915703,49.8115,38.6747
636,163,22,100,70,0.2,0.999967,108.243,93.8892
637,13,16,72,105,0.2,0.999999,144.544,133.395
638,51,37,66,68,0.2,0.997327,45.917,40.5706
639,118,50,110,101,0.2,0.997719,58.4371,49.6072
640,177,138,66,100,0.2,0.999986,144.538,124.11
641,144,64,86,100,0.2,0.988205,91.8458,72.8198
642,145,111,109,112,0.2,0.998587,36.2886,34.3269
643,66,30,76,79,0.2,0.991771,58.8519,53.0653
644,137,127,94,105,0.2,0.997305,64.1278,50.3411
645,93,68,107,64,0.2,0.789353,18.3348,9.1041
646,67,114,85,88,0.2,0.961342,43.6618,34.8132
647,50,12,72,71,0.2,0.999895,79.6753,74.9073
648,98,17,64,64,0.2,0.992601,79.7355,64.227
649,35,141,99,100,0.2,0.99987,103.104,89.5752
650,79,74,78,90,0.2,0.799507,17.0989,12.4737
651,90,101,63,100,0.2,0.8331,28.155,18.1549
652,71,28,72,90,0.2,0.995475,62.6526,55.4903
653,33,102,78,93,0.2,0.9517,53.0312,44.4815
654,12,61,65,88,0.2,0.996089,78.2704,67.417
655,28,36,67,80,0.2,0.999964,81.9144,67.6523
656,141,141,99,87,0.2,0.999713,94.6527,74.6064
657,50,105,110,61,0.2,0.997225,101.171,67.0014
658,10,153,106,108,0.2,0.999956,137.169,111.118
659,67,169,102,113,0.2,0.986071,89.9676,75.1303
660,37,50,76,111,0.2,0.99977,98.879,85.5298
661,163,149,100,110,0.2,0.999622,99.279,91.8171
662,29,127,87,87,0.2,0.999904,96.1663,80.3245
663,23,63,70,63,0.2,0.998526,46.4935,43.5372
664,166,119,83,112,0.2,0.994611,88.4778,73.1431
665,124,175,72,80,0.2,0.999454,144.793,112.928
666,144,82,65,65,0.2,0.909653,96.5991,62.1908
667,30,9,84,113,0.2,0.999998,154.518,125.345
668,69,71,63,70,0.2,0.830222,7.73244,4.9148
669,14,6,113,108,0.2,1,195.989,173.427
670,149,101,119,97,0.2,0.978992,33.8461,28.5363
671,145,137,64,118,0.2,0.981559,98.7861,68.0041
672,178,20,95,93,0.2,0.997602,152.121,128.726
673,87,38,78,110,0.2,0.988437,79.9614,62.7083
674,111,53,118,87,0.2,0.96052,41.2249,35.0728
675,52,87,104,95,0.2,0.851105,59.2903,38.9962
